week,id,buys_price,buys_quantity,sells_price,sells_quantity
41,26023,111.0,831.0,190.0,179.0
41,26022,103.0,1355.0,202.0,192.0
41,26021,118.0,847.0,168.0,167.0
41,26020,118.0,1384.0,181.0,178.0
41,27378,122.0,797.0,214.0,253.0
41,27379,122.0,1219.0,305.0,222.0
41,27374,121.0,382.0,420.0,134.0
41,27375,112.0,380.0,1010.0,346.0
41,27376,99.0,31.0,162.0,129.0
41,27377,0.0,0.0,149.0,196.0
41,27370,158.0,134.0,330.0,230.0
41,27371,121.0,1201.0,695.0,364.0
41,27372,0.0,0.0,182.0,333.0
41,27373,99.0,250.0,229.0,374.0
41,28269,6326.0,373.0,7279.0,615.0
41,11909,160.0,196.0,289.0,575.0
41,11906,150.0,273.0,299.0,350.0
41,11907,144.0,559.0,329.0,257.0
41,11904,135.0,12.0,284.0,300.0
41,11905,138.0,127.0,300.0,235.0
41,11902,622.0,405.0,999.0,248.0
41,11900,511.0,512.0,648.0,288.0
41,11901,551.0,295.0,594.0,141.5
41,73113,117.0,58983.0,122.0,335701.0
41,10479,183.0,686.0,199.0,528.0
41,9280,270.0,8965.5,310.0,4610.0
41,87947,1750003.0,97.0,2930000.0,26.0
41,9289,345.0,11226.0,389.0,2696.0
41,10470,1023.0,561.0,4340.0,356.0
41,13677,125162.0,42.0,184998.0,32.0
41,13674,55106.0,19.0,179999.0,31.0
41,13675,120603.0,22.0,184999.0,19.0
41,13672,128363.0,199.0,189271.5,36.5
41,13673,120003.0,85.0,189999.0,21.0
41,13670,141006.0,118.0,209998.0,47.0
41,2359,928.0,300.0,1984.0,151.0
41,2356,283.0,284.0,741.666666667,268.333333333
41,2357,660.0,335.0,2138.0,135.0
41,2354,1301.0,1357.0,1308.66666667,1280.0
41,2355,1301.0,1252.0,1303.0,1445.0
41,2352,818.0,293.0,2114.0,150.0
41,2353,1123.0,1007.5,1396.0,1331.0
41,13678,110002.0,31.0,179998.0,19.0
41,13679,127042.0,19.0,187499.0,27.5
41,46089,5877.0,86.0,9478.0,352.0
41,46088,4450.0,64.0,9887.0,150.0
41,46082,7606.0,204.0,31989.0,42.0
41,46081,5002.0,148.0,8802.0,201.0
41,46080,6085.0,156.0,8632.0,276.0
41,46087,19613.0,110.0,29639.0,60.0
41,46086,5437.0,155.0,24999.0,46.0
41,46085,32161.0,97.0,51143.0,74.0
41,46084,14460.0,52.0,39993.0,63.0
41,21264,212.0,10191.0,217.0,39707.0
41,21260,97.0,23283.0,110.0,51676.0
41,21261,129.0,14546.0,207.0,24070.0
41,21262,688.0,7532.0,760.0,60365.0
41,21263,550.0,20715.0,682.0,53256.0
41,2978,36.0,1326.0,133.0,115.0
41,2979,102.0,2227.66666667,208.0,327.0
